n_estimators,max_depth,Train Accuracy,Test Accuracy,Bias,Variance
10,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
10,3,0.989423076923077,0.9846153846153847,0.01538461538461533,0.004807692307692291
10,5,0.9951923076923077,0.9923076923076923,0.007692307692307665,0.0028846153846153744
10,10,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
50,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
50,3,0.9951923076923077,0.9923076923076923,0.007692307692307665,0.0028846153846153744
50,5,0.9961538461538462,0.9923076923076923,0.007692307692307665,0.0038461538461538325
50,10,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
100,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
100,3,0.9951923076923077,0.9923076923076923,0.007692307692307665,0.0028846153846153744
100,5,0.9961538461538462,0.9923076923076923,0.007692307692307665,0.0038461538461538325
100,10,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
200,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
200,3,0.9951923076923077,0.9923076923076923,0.007692307692307665,0.0028846153846153744
200,5,0.9961538461538462,0.9923076923076923,0.007692307692307665,0.0038461538461538325
200,10,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
