poids,puissance,carburant,portes,type
317,76,essence,0,moto
459,96,essence,0,moto
377,83,essence,0,moto
151,43,essence,0,moto
236,31,essence,0,moto
376,92,essence,0,moto
279,23,electrique,0,moto
422,24,essence,0,moto
119,83,essence,0,moto
286,76,essence,0,moto
768,53,essence,0,moto
373,45,essence,0,moto
532,23,essence,0,moto
102,67,essence,0,moto
356,25,essence,0,moto
261,68,essence,0,moto
431,70,essence,0,moto
435,44,essence,1,moto
301,99,essence,0,moto
404,91,essence,0,moto
131,24,essence,0,moto
452,17,electrique,0,moto
493,21,essence,0,moto
462,16,essence,0,moto
313,72,electrique,0,moto
459,50,essence,0,moto
107,63,essence,0,moto
399,57,electrique,0,moto
107,26,essence,0,moto
124,90,essence,0,moto
469,32,essence,0,moto
208,53,essence,0,moto
356,75,essence,0,moto
464,11,essence,0,moto
275,61,essence,0,moto
248,64,electrique,0,moto
352,55,essence,0,moto
103,81,essence,0,moto
112,82,essence,0,moto
118,87,essence,0,moto
362,73,electrique,0,moto
705,95,essence,0,moto
319,75,essence,0,moto
472,94,essence,0,moto
329,97,essence,0,moto
182,15,essence,0,moto
364,91,essence,0,moto
487,11,essence,0,moto
237,68,essence,0,moto
286,23,essence,0,moto
360,94,essence,0,moto
426,54,essence,0,moto
192,89,essence,0,moto
130,65,essence,0,moto
180,29,essence,0,moto
245,24,essence,0,moto
194,22,essence,0,moto
467,41,essence,0,moto
256,90,essence,0,moto
418,44,essence,0,moto
597,30,essence,0,moto
246,41,essence,0,moto
445,22,electrique,0,moto
310,31,essence,0,moto
321,72,essence,0,moto
156,33,electrique,0,moto
281,57,essence,0,moto
296,84,essence,0,moto
322,83,electrique,0,moto
206,78,essence,0,moto
452,52,electrique,0,moto
489,76,essence,0,moto
139,29,essence,0,moto
466,81,essence,0,moto
400,98,essence,0,moto
328,86,essence,0,moto
286,38,essence,1,moto
296,48,essence,0,moto
240,50,essence,0,moto
327,45,essence,0,moto
116,79,essence,0,moto
350,54,essence,0,moto
391,49,essence,0,moto
334,40,essence,0,moto
470,75,essence,0,moto
154,74,essence,0,moto
121,21,essence,1,moto
442,71,essence,0,moto
268,13,essence,0,moto
288,95,essence,0,moto
332,61,essence,0,moto
429,27,essence,0,moto
332,65,essence,0,moto
480,83,essence,0,moto
495,20,essence,0,moto
609,57,essence,1,moto
129,98,electrique,0,moto
408,60,essence,0,moto
249,94,essence,0,moto
499,94,essence,0,moto
213,91,electrique,0,moto
215,80,essence,0,moto
470,91,essence,0,moto
226,22,essence,0,moto
146,52,essence,0,moto
398,38,essence,0,moto
179,64,essence,0,moto
300,99,essence,0,moto
286,35,essence,0,moto
205,10,essence,0,moto
429,15,essence,0,moto
184,99,essence,0,moto
117,79,electrique,0,moto
267,39,essence,0,moto
461,20,essence,0,moto
467,25,essence,0,moto
490,61,essence,0,moto
433,86,essence,0,moto
446,56,essence,0,moto
186,39,electrique,0,moto
162,67,essence,0,moto
290,69,essence,0,moto
622,23,essence,0,moto
283,77,essence,0,moto
493,40,electrique,0,moto
314,19,essence,0,moto
105,43,essence,0,moto
378,72,electrique,0,moto
354,70,essence,0,moto
154,44,essence,0,moto
829,84,essence,0,moto
211,69,essence,0,moto
432,47,essence,0,moto
287,66,essence,0,moto
346,28,essence,0,moto
425,41,essence,0,moto
483,25,essence,0,moto
400,61,essence,0,moto
208,61,essence,0,moto
177,28,electrique,0,moto
241,53,essence,0,moto
148,37,essence,0,moto
209,51,essence,0,moto
102,23,essence,0,moto
371,41,electrique,0,moto
220,26,electrique,0,moto
175,26,essence,0,moto
369,98,essence,0,moto
196,71,essence,0,moto
156,92,electrique,0,moto
326,92,essence,0,moto
244,67,essence,0,moto
411,23,electrique,1,moto
382,94,essence,0,moto
195,42,essence,0,moto
353,73,essence,0,moto
194,78,essence,0,moto
290,68,essence,0,moto
405,95,essence,0,moto
179,11,essence,0,moto
166,54,essence,0,moto
368,18,essence,0,moto
381,48,essence,0,moto
419,67,essence,0,moto
237,89,essence,0,moto
179,31,essence,0,moto
891,46,essence,0,moto
242,45,essence,0,moto
283,91,essence,0,moto
110,37,essence,0,moto
275,10,essence,0,moto
259,65,essence,1,moto
492,18,essence,0,moto
446,61,essence,0,moto
439,11,electrique,0,moto
415,91,essence,0,moto
306,69,essence,0,moto
375,84,essence,0,moto
343,56,essence,0,moto
361,38,essence,0,moto
451,20,essence,0,moto
475,31,essence,0,moto
172,11,essence,0,moto
346,97,essence,1,moto
431,26,essence,0,moto
417,43,essence,0,moto
762,59,essence,0,moto
295,28,essence,0,moto
201,84,essence,0,moto
115,37,essence,0,moto
478,67,essence,0,moto
308,97,essence,0,moto
154,31,essence,0,moto
406,53,essence,0,moto
351,10,essence,0,moto
417,53,essence,0,moto
405,35,essence,0,moto
253,84,essence,0,moto
205,55,essence,0,moto
373,15,essence,0,moto
291,59,essence,0,moto
260,35,essence,0,moto
398,54,essence,0,moto
344,85,essence,0,moto
457,38,essence,0,moto
324,50,essence,0,moto
364,78,essence,0,moto
676,42,essence,0,moto
449,54,essence,0,moto
108,42,essence,0,moto
406,49,essence,0,moto
297,18,essence,0,moto
276,31,essence,0,moto
311,71,essence,0,moto
363,43,essence,0,moto
444,51,essence,0,moto
353,17,electrique,0,moto
219,11,essence,0,moto
437,92,essence,0,moto
229,27,essence,0,moto
315,96,essence,0,moto
309,69,essence,0,moto
178,93,essence,0,moto
475,79,essence,0,moto
309,86,essence,0,moto
103,72,essence,0,moto
314,32,essence,0,moto
330,94,essence,0,moto
331,96,essence,0,moto
436,88,essence,0,moto
322,91,essence,0,moto
248,60,essence,0,moto
396,10,essence,0,moto
478,68,essence,0,moto
246,12,electrique,0,moto
441,77,essence,0,moto
705,30,essence,0,moto
256,61,essence,0,moto
237,79,electrique,0,moto
390,21,essence,0,moto
211,36,essence,0,moto
114,42,essence,0,moto
422,65,essence,0,moto
280,34,essence,0,moto
398,56,essence,0,moto
248,58,essence,0,moto
307,20,essence,0,moto
156,76,essence,0,moto
418,61,essence,0,moto
300,31,essence,0,moto
456,89,essence,0,moto
316,28,essence,0,moto
363,35,essence,0,moto
261,53,essence,0,moto
393,31,essence,0,moto
367,98,essence,0,moto
447,76,essence,0,moto
172,26,essence,0,moto
270,12,essence,0,moto
471,24,essence,0,moto
479,84,essence,0,moto
174,97,essence,0,moto
425,96,essence,0,moto
356,97,electrique,0,moto
682,89,essence,0,moto
207,57,essence,0,moto
362,46,essence,0,moto
339,12,essence,0,moto
273,76,essence,0,moto
213,48,electrique,0,moto
275,92,essence,0,moto
314,84,essence,0,moto
198,85,essence,0,moto
171,95,essence,0,moto
401,31,essence,0,moto
350,47,essence,0,moto
885,44,essence,0,moto
262,72,essence,0,moto
138,79,essence,0,moto
240,51,essence,0,moto
168,97,electrique,0,moto
290,91,essence,0,moto
186,71,essence,0,moto
422,22,essence,1,moto
328,76,essence,0,moto
481,24,essence,0,moto
421,49,essence,0,moto
337,78,essence,0,moto
240,54,essence,0,moto
435,70,electrique,0,moto
133,43,essence,0,moto
430,60,electrique,0,moto
388,89,essence,0,moto
152,83,essence,0,moto
216,76,essence,0,moto
344,17,essence,0,moto
462,29,essence,0,moto
474,63,essence,0,moto
247,47,essence,0,moto
256,22,essence,0,moto
862,74,essence,0,moto
299,88,essence,0,moto
787,47,essence,0,moto
165,57,electrique,0,moto
467,74,electrique,0,moto
453,53,essence,1,moto
399,62,essence,0,moto
183,56,essence,0,moto
290,92,essence,0,moto
451,13,essence,0,moto
368,69,essence,0,moto
232,83,essence,0,moto
444,61,essence,0,moto
219,86,essence,0,moto
242,34,essence,0,moto
225,31,essence,0,moto
429,76,essence,1,moto
279,37,essence,0,moto
259,75,electrique,0,moto
448,11,essence,1,moto
121,41,electrique,0,moto
367,55,essence,0,moto
188,51,essence,0,moto
338,88,essence,0,moto
385,62,essence,0,moto
137,34,essence,0,moto
279,91,essence,0,moto
176,90,essence,0,moto
302,14,essence,0,moto
173,97,essence,0,moto
395,26,essence,0,moto
276,90,essence,0,moto
390,20,electrique,0,moto
188,16,essence,1,moto
495,51,essence,0,moto
297,85,essence,0,moto
121,80,essence,0,moto
436,37,essence,0,moto
464,96,essence,0,moto
426,99,essence,0,moto
624,50,essence,0,moto
254,96,essence,0,moto
229,95,essence,0,moto
206,17,essence,0,moto
142,84,essence,0,moto
420,30,essence,0,moto
220,22,essence,0,moto
150,20,essence,0,moto
151,63,essence,0,moto
122,32,essence,0,moto
267,81,essence,0,moto
472,22,essence,1,moto
459,37,essence,0,moto
439,75,essence,0,moto
193,66,essence,0,moto
166,33,essence,0,moto
125,26,essence,0,moto
472,31,essence,0,moto
232,60,essence,0,moto
191,33,essence,0,moto
248,49,essence,0,moto
122,27,essence,0,moto
143,69,essence,1,moto
422,96,essence,0,moto
111,53,essence,0,moto
254,57,electrique,0,moto
309,46,electrique,0,moto
250,83,essence,0,moto
517,16,essence,0,moto
367,17,essence,0,moto
239,87,essence,0,moto
114,87,essence,0,moto
236,26,essence,0,moto
320,38,essence,0,moto
374,48,essence,0,moto
494,42,essence,0,moto
284,45,electrique,1,moto
473,82,electrique,0,moto
435,16,essence,0,moto
177,27,essence,0,moto
401,53,essence,0,moto
205,52,essence,0,moto
124,25,essence,0,moto
141,27,essence,0,moto
820,30,essence,0,moto
409,95,essence,0,moto
368,66,essence,0,moto
845,90,essence,0,moto
242,65,electrique,0,moto
389,75,essence,1,moto
240,29,essence,0,moto
176,50,essence,0,moto
259,89,essence,0,moto
196,69,essence,0,moto
174,19,essence,1,moto
369,51,essence,0,moto
294,51,essence,0,moto
424,57,essence,0,moto
477,93,essence,1,moto
215,89,essence,0,moto
1411,49,essence,4,voiture
2624,396,diesel,3,voiture
2226,219,diesel,4,voiture
603,416,diesel,4,voiture
1726,316,electrique,2,voiture
420,358,essence,2,voiture
1602,428,essence,3,voiture
847,232,electrique,4,voiture
4644,351,diesel,3,voiture
1334,302,electrique,3,voiture
2482,307,essence,3,voiture
964,153,essence,4,voiture
787,202,electrique,2,voiture
1042,146,electrique,5,voiture
1563,432,electrique,4,voiture
527,434,essence,2,voiture
752,364,essence,2,voiture
1690,320,essence,2,voiture
2740,298,essence,3,voiture
942,53,electrique,3,voiture
801,229,essence,3,voiture
2110,442,electrique,5,voiture
2407,45,diesel,3,voiture
4294,98,diesel,4,voiture
1758,306,essence,5,voiture
2313,426,essence,2,voiture
4369,114,electrique,4,voiture
834,86,electrique,3,voiture
2261,140,essence,4,voiture
1330,363,diesel,4,voiture
2695,131,essence,5,voiture
1844,414,essence,5,voiture
502,202,electrique,3,voiture
2723,322,essence,5,voiture
1746,433,diesel,3,voiture
1661,102,diesel,2,voiture
2553,178,diesel,2,voiture
2601,267,diesel,5,voiture
459,348,electrique,3,voiture
2702,325,electrique,2,voiture
1755,352,diesel,2,voiture
805,177,essence,5,voiture
2094,146,diesel,5,voiture
2771,158,diesel,3,voiture
2399,198,electrique,4,voiture
2230,268,diesel,4,voiture
1211,362,essence,5,voiture
2721,211,essence,4,voiture
1331,362,electrique,4,voiture
1432,392,electrique,4,voiture
1691,190,essence,2,voiture
957,448,diesel,5,voiture
625,312,essence,4,voiture
1877,362,essence,3,voiture
1927,212,essence,3,voiture
597,378,diesel,4,voiture
1675,364,diesel,2,voiture
1239,201,essence,3,voiture
2743,295,electrique,3,voiture
1911,182,electrique,4,voiture
1895,198,essence,4,voiture
690,411,essence,2,voiture
1141,92,essence,2,voiture
2783,78,essence,5,voiture
2074,55,essence,2,voiture
918,194,essence,4,voiture
2395,407,essence,3,voiture
5217,182,essence,2,voiture
2501,109,electrique,3,voiture
1663,300,essence,3,voiture
659,433,essence,5,voiture
1110,135,electrique,2,voiture
4622,199,diesel,5,voiture
1725,218,essence,3,voiture
1525,444,essence,2,voiture
2186,304,diesel,5,voiture
1275,352,diesel,5,voiture
635,444,essence,3,voiture
1603,437,electrique,5,voiture
447,401,essence,2,voiture
2179,417,electrique,5,voiture
1576,286,electrique,2,voiture
1263,162,diesel,2,voiture
2720,233,diesel,3,voiture
2091,120,essence,3,voiture
1281,129,essence,2,voiture
1574,94,diesel,3,voiture
2083,391,electrique,3,voiture
2311,406,essence,2,voiture
1838,293,electrique,2,voiture
850,232,diesel,3,voiture
1232,385,essence,5,voiture
1867,441,essence,5,voiture
1278,417,essence,3,voiture
1008,446,essence,3,voiture
2016,174,diesel,4,voiture
2634,294,essence,2,voiture
2713,182,essence,3,voiture
2767,144,diesel,3,voiture
916,312,essence,2,voiture
966,357,essence,5,voiture
1306,324,essence,4,voiture
684,359,diesel,5,voiture
1684,441,essence,4,voiture
1205,421,essence,2,voiture
2017,225,diesel,2,voiture
1042,88,electrique,3,voiture
750,166,electrique,3,voiture
2036,169,diesel,3,voiture
2784,255,diesel,2,voiture
1044,251,essence,3,voiture
627,161,essence,3,voiture
2563,373,essence,2,voiture
912,130,essence,2,voiture
1524,378,essence,3,voiture
1000,282,diesel,2,voiture
1470,382,diesel,5,voiture
1616,434,essence,5,voiture
511,375,essence,5,voiture
535,55,electrique,2,voiture
2274,251,essence,4,voiture
1384,65,essence,4,voiture
1946,263,essence,2,voiture
2692,397,electrique,4,voiture
831,439,essence,3,voiture
2297,183,essence,5,voiture
683,337,essence,2,voiture
4833,259,diesel,2,voiture
1302,407,essence,3,voiture
2231,406,essence,3,voiture
842,112,essence,5,voiture
1648,265,essence,5,voiture
3877,432,electrique,5,voiture
2522,132,essence,5,voiture
1275,205,essence,5,voiture
839,134,essence,2,voiture
1418,174,essence,4,voiture
1478,61,essence,4,voiture
465,345,essence,5,voiture
2117,323,essence,2,voiture
2296,303,essence,5,voiture
2006,195,electrique,5,voiture
2063,111,essence,3,voiture
2562,315,essence,4,voiture
4788,420,diesel,4,voiture
2615,388,electrique,5,voiture
1349,353,essence,3,voiture
639,437,electrique,5,voiture
2078,336,electrique,4,voiture
1672,268,essence,5,voiture
2747,79,essence,3,voiture
2686,66,electrique,3,voiture
1247,389,essence,2,voiture
2462,140,diesel,5,voiture
1234,137,essence,2,voiture
1882,74,essence,5,voiture
2474,367,diesel,2,voiture
1137,240,essence,3,voiture
2385,61,diesel,3,voiture
1209,309,electrique,3,voiture
967,390,electrique,4,voiture
5228,282,diesel,2,voiture
848,161,electrique,2,voiture
901,446,diesel,2,voiture
414,94,diesel,4,voiture
2686,169,essence,4,voiture
1471,297,diesel,5,voiture
2656,136,essence,3,voiture
435,120,essence,2,voiture
2213,282,essence,4,voiture
670,100,essence,4,voiture
1564,272,diesel,2,voiture
1606,96,diesel,4,voiture
4049,192,essence,3,voiture
2739,369,essence,4,voiture
3474,251,electrique,2,voiture
2703,75,diesel,3,voiture
