poids,puissance,carburant,portes,type
120,46,essence,0,moto
215,13,essence,0,moto
403,64,essence,0,moto
142,63,essence,0,moto
217,43,essence,0,moto
368,53,electrique,0,moto
389,35,essence,0,moto
469,43,essence,0,moto
210,69,essence,0,moto
108,30,essence,1,moto
380,52,essence,0,moto
181,16,essence,0,moto
317,10,essence,1,moto
329,69,essence,0,moto
241,15,essence,0,moto
420,57,essence,0,moto
491,67,essence,0,moto
380,17,essence,0,moto
137,66,essence,0,moto
337,88,essence,0,moto
234,80,electrique,0,moto
406,14,essence,0,moto
384,94,essence,0,moto
408,77,electrique,0,moto
319,83,essence,0,moto
341,46,essence,0,moto
208,63,essence,0,moto
426,42,essence,0,moto
271,29,essence,0,moto
154,51,electrique,0,moto
446,70,essence,0,moto
386,91,essence,0,moto
386,65,essence,0,moto
315,18,essence,0,moto
396,87,essence,0,moto
121,42,essence,0,moto
215,18,essence,0,moto
241,40,essence,0,moto
399,95,essence,0,moto
473,87,essence,0,moto
196,45,essence,0,moto
274,31,essence,0,moto
231,65,essence,0,moto
150,56,essence,0,moto
481,52,essence,0,moto
455,16,essence,0,moto
123,13,essence,0,moto
193,54,essence,0,moto
516,92,essence,0,moto
396,51,electrique,0,moto
356,66,essence,0,moto
222,34,essence,0,moto
491,68,essence,0,moto
181,56,essence,0,moto
276,56,essence,0,moto
295,48,essence,0,moto
161,79,essence,0,moto
301,64,essence,0,moto
238,35,essence,0,moto
375,74,essence,0,moto
162,51,essence,0,moto
323,61,essence,0,moto
468,82,essence,0,moto
257,75,essence,0,moto
251,12,essence,0,moto
132,47,electrique,0,moto
525,52,essence,0,moto
386,39,essence,0,moto
480,41,essence,0,moto
141,88,essence,0,moto
334,28,essence,0,moto
476,52,electrique,1,moto
479,52,essence,0,moto
151,90,essence,0,moto
472,49,essence,0,moto
182,19,essence,0,moto
486,60,electrique,0,moto
138,62,essence,0,moto
304,82,essence,0,moto
142,61,essence,0,moto
411,80,essence,0,moto
409,62,essence,0,moto
391,41,essence,0,moto
209,65,electrique,0,moto
347,14,essence,0,moto
137,36,essence,0,moto
229,81,essence,0,moto
113,35,electrique,0,moto
138,73,electrique,0,moto
233,27,electrique,0,moto
499,23,electrique,0,moto
245,39,essence,0,moto
377,31,essence,0,moto
444,59,essence,1,moto
126,99,essence,0,moto
429,12,essence,0,moto
269,12,essence,1,moto
221,79,essence,0,moto
411,40,essence,0,moto
429,70,essence,0,moto
288,41,essence,0,moto
199,42,essence,0,moto
494,31,electrique,0,moto
364,81,essence,0,moto
246,51,essence,0,moto
420,59,essence,0,moto
403,87,essence,1,moto
449,55,essence,1,moto
269,19,essence,0,moto
310,44,essence,0,moto
375,72,essence,0,moto
283,39,essence,0,moto
480,59,essence,0,moto
236,60,essence,0,moto
256,85,essence,0,moto
487,22,electrique,0,moto
321,78,essence,0,moto
112,37,essence,0,moto
177,78,essence,0,moto
521,50,electrique,0,moto
469,78,essence,0,moto
481,30,essence,0,moto
206,67,essence,0,moto
459,68,electrique,0,moto
436,78,essence,0,moto
190,82,essence,0,moto
383,89,electrique,0,moto
365,88,essence,0,moto
353,18,essence,0,moto
145,58,essence,0,moto
205,34,essence,0,moto
132,35,essence,0,moto
499,65,essence,0,moto
191,93,essence,0,moto
318,94,essence,1,moto
272,27,essence,0,moto
110,62,essence,0,moto
131,37,essence,0,moto
333,59,electrique,0,moto
125,79,essence,0,moto
487,79,electrique,0,moto
130,13,essence,0,moto
396,31,essence,0,moto
129,49,essence,0,moto
104,98,essence,0,moto
178,98,essence,0,moto
117,91,essence,0,moto
410,19,essence,0,moto
391,53,essence,1,moto
155,24,essence,0,moto
405,55,essence,0,moto
286,45,essence,0,moto
185,23,essence,0,moto
323,67,essence,0,moto
433,12,essence,0,moto
455,69,essence,0,moto
368,12,essence,0,moto
250,59,essence,0,moto
372,63,essence,0,moto
492,91,essence,0,moto
121,26,electrique,0,moto
345,84,essence,0,moto
176,18,essence,0,moto
493,96,essence,0,moto
448,34,essence,0,moto
378,79,essence,0,moto
364,21,essence,0,moto
486,11,essence,0,moto
162,24,essence,0,moto
479,48,essence,0,moto
353,64,essence,0,moto
249,49,essence,0,moto
100,68,essence,0,moto
407,87,essence,0,moto
234,74,electrique,0,moto
234,34,essence,0,moto
474,47,essence,0,moto
477,84,essence,0,moto
469,50,essence,0,moto
141,86,essence,0,moto
331,49,essence,0,moto
473,55,essence,0,moto
417,50,essence,0,moto
255,68,electrique,0,moto
268,54,essence,0,moto
293,37,essence,0,moto
462,36,essence,0,moto
287,73,essence,0,moto
355,82,essence,1,moto
157,17,essence,0,moto
219,78,essence,1,moto
347,35,essence,0,moto
194,68,essence,0,moto
276,10,essence,0,moto
231,50,essence,0,moto
165,34,essence,0,moto
485,49,electrique,0,moto
300,14,essence,0,moto
428,64,essence,0,moto
454,88,essence,0,moto
380,32,essence,0,moto
157,63,essence,0,moto
473,19,essence,0,moto
475,65,essence,0,moto
271,89,essence,0,moto
252,92,essence,0,moto
153,11,essence,0,moto
370,40,essence,0,moto
464,89,essence,0,moto
291,50,essence,0,moto
297,80,essence,0,moto
133,19,essence,0,moto
166,83,essence,0,moto
329,66,essence,0,moto
295,88,essence,0,moto
228,50,electrique,0,moto
334,51,essence,0,moto
425,64,essence,0,moto
356,30,essence,0,moto
180,73,essence,0,moto
442,57,essence,0,moto
303,67,essence,0,moto
241,97,essence,0,moto
113,56,electrique,0,moto
394,17,essence,0,moto
136,26,essence,0,moto
404,45,electrique,0,moto
393,17,essence,0,moto
180,52,essence,0,moto
376,49,electrique,0,moto
344,55,essence,0,moto
281,29,essence,0,moto
308,86,essence,0,moto
221,55,essence,0,moto
119,25,essence,0,moto
386,94,electrique,0,moto
159,80,essence,0,moto
446,39,essence,0,moto
197,59,essence,0,moto
350,91,essence,1,moto
128,22,essence,0,moto
404,29,essence,0,moto
233,11,electrique,0,moto
450,40,essence,0,moto
372,99,electrique,0,moto
401,14,essence,0,moto
387,35,essence,0,moto
443,32,essence,0,moto
378,26,essence,0,moto
456,76,electrique,0,moto
421,24,essence,0,moto
309,15,electrique,0,moto
423,49,essence,0,moto
150,70,essence,0,moto
401,52,essence,0,moto
479,55,essence,0,moto
144,94,essence,0,moto
212,47,electrique,1,moto
491,83,essence,0,moto
371,19,essence,0,moto
127,84,essence,0,moto
253,67,essence,1,moto
240,29,essence,0,moto
420,98,essence,0,moto
374,36,essence,0,moto
417,28,essence,0,moto
174,45,essence,0,moto
217,52,essence,0,moto
132,68,essence,0,moto
154,80,essence,0,moto
459,97,essence,0,moto
492,24,essence,0,moto
130,41,essence,1,moto
290,89,essence,0,moto
340,20,essence,0,moto
447,44,essence,0,moto
406,57,essence,1,moto
437,84,essence,0,moto
405,38,essence,0,moto
236,40,essence,0,moto
452,52,essence,0,moto
241,91,essence,0,moto
103,35,essence,0,moto
436,57,essence,0,moto
309,59,essence,0,moto
464,72,electrique,1,moto
199,35,essence,0,moto
334,82,essence,0,moto
160,65,essence,0,moto
317,91,essence,0,moto
416,46,essence,1,moto
360,98,essence,0,moto
461,75,essence,0,moto
165,65,electrique,0,moto
480,81,essence,0,moto
118,49,essence,0,moto
412,42,essence,0,moto
279,80,essence,0,moto
127,37,essence,0,moto
133,34,electrique,0,moto
440,68,essence,1,moto
314,51,essence,0,moto
106,69,electrique,0,moto
478,66,essence,0,moto
194,90,essence,0,moto
107,43,electrique,0,moto
404,52,essence,0,moto
220,14,essence,0,moto
381,54,essence,0,moto
215,23,essence,0,moto
325,20,essence,0,moto
147,52,essence,0,moto
227,32,essence,0,moto
429,18,essence,0,moto
241,84,electrique,0,moto
120,13,essence,0,moto
213,57,essence,0,moto
126,27,essence,0,moto
238,48,essence,0,moto
377,80,essence,0,moto
260,34,essence,0,moto
464,51,essence,0,moto
462,40,essence,0,moto
169,87,electrique,0,moto
242,59,essence,0,moto
449,47,essence,0,moto
256,88,essence,0,moto
326,65,essence,0,moto
258,96,essence,0,moto
323,25,essence,0,moto
214,59,essence,0,moto
176,19,essence,1,moto
453,60,essence,0,moto
179,37,essence,0,moto
111,72,essence,0,moto
360,69,essence,0,moto
161,62,essence,0,moto
226,58,essence,0,moto
342,12,essence,0,moto
450,37,essence,0,moto
440,33,essence,0,moto
211,66,essence,0,moto
403,15,essence,0,moto
516,95,essence,0,moto
409,78,electrique,0,moto
338,84,essence,0,moto
259,63,essence,0,moto
305,73,essence,0,moto
252,95,essence,0,moto
281,95,essence,0,moto
245,76,essence,0,moto
415,60,essence,0,moto
334,49,electrique,0,moto
122,99,essence,0,moto
177,48,essence,0,moto
291,50,essence,0,moto
300,50,essence,0,moto
172,53,essence,0,moto
152,34,essence,0,moto
291,58,essence,0,moto
155,93,essence,0,moto
352,97,essence,0,moto
528,68,essence,1,moto
128,40,essence,0,moto
233,50,essence,0,moto
345,94,essence,1,moto
102,67,essence,0,moto
371,78,electrique,0,moto
164,20,electrique,0,moto
266,19,essence,0,moto
487,51,essence,0,moto
347,24,essence,0,moto
326,74,essence,1,moto
212,20,essence,0,moto
460,89,essence,0,moto
362,94,essence,0,moto
485,19,essence,0,moto
111,12,essence,0,moto
303,61,essence,0,moto
173,48,essence,0,moto
132,93,essence,0,moto
176,10,essence,0,moto
165,39,essence,0,moto
470,97,electrique,0,moto
299,21,essence,0,moto
376,74,essence,0,moto
345,58,electrique,0,moto
469,19,essence,0,moto
380,44,essence,0,moto
294,64,essence,1,moto
347,24,electrique,0,moto
207,96,essence,0,moto
380,87,essence,0,moto
388,87,essence,0,moto
400,30,essence,0,moto
339,31,essence,0,moto
293,51,electrique,0,moto
484,16,essence,0,moto
232,25,essence,0,moto
2239,117,essence,2,voiture
2461,250,essence,3,voiture
1735,58,diesel,2,voiture
2555,124,essence,5,voiture
2095,287,essence,5,voiture
2382,265,diesel,4,voiture
1470,317,essence,2,voiture
927,114,essence,4,voiture
429,286,essence,4,voiture
1287,308,electrique,3,voiture
2378,198,diesel,4,voiture
2721,91,essence,3,voiture
554,421,diesel,2,voiture
881,125,essence,3,voiture
2187,276,essence,4,voiture
1943,194,essence,5,voiture
2756,320,diesel,5,voiture
1338,137,essence,2,voiture
1174,187,essence,5,voiture
777,77,diesel,3,voiture
2015,91,essence,2,voiture
1687,264,electrique,5,voiture
1296,283,diesel,2,voiture
1008,319,essence,3,voiture
1164,133,essence,4,voiture
1313,232,diesel,5,voiture
559,210,essence,3,voiture
2619,339,diesel,2,voiture
2275,399,electrique,3,voiture
1022,338,essence,3,voiture
2626,148,essence,3,voiture
519,227,essence,5,voiture
1020,283,diesel,2,voiture
1835,192,essence,5,voiture
2398,355,essence,5,voiture
1965,224,electrique,3,voiture
1669,417,essence,4,voiture
1468,197,essence,3,voiture
410,139,diesel,5,voiture
528,217,essence,3,voiture
1626,176,electrique,3,voiture
1280,147,diesel,3,voiture
1881,269,electrique,2,voiture
2189,330,essence,4,voiture
662,272,diesel,4,voiture
1790,115,essence,3,voiture
2222,172,essence,3,voiture
1959,63,essence,5,voiture
538,437,essence,4,voiture
1733,116,essence,5,voiture
1393,427,essence,3,voiture
858,190,electrique,3,voiture
2340,384,diesel,4,voiture
1770,121,essence,2,voiture
2363,91,electrique,4,voiture
2036,251,diesel,4,voiture
780,352,diesel,5,voiture
470,305,electrique,4,voiture
853,201,electrique,3,voiture
2606,151,electrique,3,voiture
2551,210,essence,2,voiture
1613,259,essence,4,voiture
1428,60,diesel,5,voiture
1314,200,diesel,5,voiture
2518,419,essence,2,voiture
2668,311,electrique,5,voiture
494,335,diesel,4,voiture
1493,442,essence,2,voiture
1579,241,electrique,4,voiture
1618,190,electrique,2,voiture
650,290,electrique,4,voiture
508,354,diesel,2,voiture
1170,242,diesel,2,voiture
2056,251,diesel,4,voiture
662,389,diesel,4,voiture
2212,135,electrique,5,voiture
2173,427,diesel,4,voiture
1567,99,electrique,5,voiture
2578,130,electrique,2,voiture
1020,290,diesel,2,voiture
1709,354,essence,2,voiture
1672,373,essence,2,voiture
1059,237,diesel,4,voiture
2650,203,diesel,3,voiture
858,323,diesel,2,voiture
2623,348,essence,5,voiture
948,102,essence,5,voiture
1810,430,electrique,5,voiture
2317,238,essence,5,voiture
1571,186,essence,5,voiture
1654,373,essence,4,voiture
777,309,electrique,2,voiture
2795,112,diesel,3,voiture
1870,72,diesel,4,voiture
1762,156,essence,4,voiture
2088,197,essence,3,voiture
1074,435,essence,2,voiture
691,282,diesel,5,voiture
1994,230,essence,2,voiture
2062,441,electrique,5,voiture
415,116,essence,4,voiture
1670,63,essence,5,voiture
888,95,essence,4,voiture
2570,305,diesel,4,voiture
1185,384,diesel,3,voiture
1830,444,essence,3,voiture
754,95,diesel,3,voiture
1507,280,essence,3,voiture
2236,311,essence,2,voiture
2585,245,essence,2,voiture
2177,260,diesel,5,voiture
2188,169,essence,4,voiture
2264,392,essence,5,voiture
2006,45,diesel,3,voiture
2548,253,essence,3,voiture
1266,228,essence,3,voiture
1443,213,diesel,5,voiture
935,165,electrique,4,voiture
2488,231,diesel,2,voiture
2038,382,essence,4,voiture
868,226,essence,3,voiture
1570,169,essence,2,voiture
585,349,diesel,4,voiture
1297,72,essence,3,voiture
1827,191,essence,5,voiture
1463,137,electrique,2,voiture
668,161,diesel,4,voiture
437,112,essence,4,voiture
1661,94,essence,3,voiture
1274,213,essence,3,voiture
1862,177,diesel,3,voiture
2640,115,essence,4,voiture
2869,82,essence,3,voiture
2492,227,essence,5,voiture
763,207,electrique,2,voiture
622,106,electrique,2,voiture
903,97,essence,5,voiture
1085,96,electrique,4,voiture
3122,323,diesel,2,voiture
2673,352,essence,3,voiture
2303,122,electrique,4,voiture
1663,218,diesel,4,voiture
1049,343,essence,2,voiture
1195,166,essence,4,voiture
2533,238,essence,5,voiture
878,141,essence,5,voiture
2568,227,essence,3,voiture
2343,432,essence,3,voiture
463,114,diesel,3,voiture
1784,426,electrique,3,voiture
1336,251,electrique,5,voiture
1974,409,diesel,4,voiture
2255,370,essence,4,voiture
2490,368,diesel,5,voiture
2700,70,essence,4,voiture
1522,263,essence,3,voiture
1594,411,diesel,3,voiture
1923,318,essence,2,voiture
1516,298,essence,3,voiture
2784,89,electrique,5,voiture
944,77,diesel,3,voiture
927,160,essence,2,voiture
2237,249,essence,3,voiture
2360,331,electrique,2,voiture
1078,252,electrique,2,voiture
1912,304,electrique,4,voiture
605,182,essence,4,voiture
2317,336,essence,4,voiture
2619,78,electrique,4,voiture
2505,164,essence,3,voiture
1809,72,essence,5,voiture
1082,308,electrique,5,voiture
1099,87,essence,4,voiture
1091,405,diesel,5,voiture
629,204,essence,4,voiture
756,270,essence,5,voiture
2057,414,diesel,3,voiture
581,380,diesel,5,voiture
713,234,diesel,2,voiture
1593,316,electrique,2,voiture
2691,154,essence,4,voiture
1180,216,essence,3,voiture
2559,170,diesel,2,voiture
2089,175,electrique,4,voiture
1501,250,diesel,5,voiture
1765,429,essence,5,voiture
1067,315,diesel,2,voiture
2215,288,essence,3,voiture
1566,268,diesel,2,voiture
914,254,essence,5,voiture
774,441,essence,5,voiture
519,298,essence,2,voiture
993,430,electrique,4,voiture
1597,72,essence,3,voiture
2798,197,essence,3,voiture
746,313,essence,5,voiture
1487,355,essence,4,voiture
1343,323,essence,4,voiture
636,316,electrique,4,voiture
1062,379,electrique,5,voiture
1119,132,diesel,3,voiture
970,362,diesel,4,voiture
1488,277,electrique,4,voiture
905,349,essence,4,voiture
2084,224,essence,3,voiture
2040,101,diesel,2,voiture
2526,133,essence,2,voiture
2017,110,diesel,2,voiture
873,134,electrique,4,voiture
1271,367,diesel,4,voiture
1018,89,electrique,3,voiture
510,415,diesel,3,voiture
1604,180,diesel,5,voiture
1618,181,essence,4,voiture
2699,340,diesel,2,voiture
674,329,essence,3,voiture
1564,272,essence,3,voiture
670,202,diesel,3,voiture
802,216,essence,5,voiture
1147,360,essence,3,voiture
820,339,essence,2,voiture
2726,367,diesel,5,voiture
2478,212,essence,4,voiture
874,175,essence,5,voiture
1458,298,electrique,4,voiture
818,398,diesel,3,voiture
1175,437,electrique,5,voiture
1005,410,diesel,5,voiture
1485,91,essence,2,voiture
1660,369,diesel,3,voiture
588,282,essence,2,voiture
756,402,diesel,3,voiture
2135,192,diesel,3,voiture
1655,350,essence,2,voiture
1749,228,essence,2,voiture
432,153,diesel,3,voiture
1097,293,electrique,4,voiture
610,133,essence,3,voiture
457,435,diesel,4,voiture
457,283,essence,5,voiture
556,186,essence,2,voiture
1275,162,essence,4,voiture
1571,164,electrique,5,voiture
671,378,electrique,5,voiture
2523,338,essence,4,voiture
1388,123,electrique,4,voiture
1091,265,essence,4,voiture
536,444,essence,4,voiture
